Age Group,Gender,Nationality,Employment Status,Monthly Income,Hotel Stay Frequency,Stay Duration,Purpose of Travel,Preferred Room Type,Booking Channel,Services Used,Spa Rating,Dining Rating,Room Service Rating,Cleanliness Rating,Preferred Bundles,Service Time,In Loyalty Program,Loyalty Tier,Reward Redemption Frequency,Overall Experience Rating,Would Recommend,Comfort Spend Range,Willing to Try Offers,Issues Faced
51–65,Female,Samoa,Unemployed,>1L,3–5,1–2 days,Leisure,Standard,Hotel Website,"Spa, Airport Pickup, Gym, Room Service",5,3,3,3,Airport Pickup + Late Checkout,Evening,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,No,"Lack of Cleanliness, Poor Staff Behavior, Limited Wellness Services"
18–25,Male,Iran,Self-Employed,25K–50K,1–2 times,1–2 days,Medical,Standard,Agent,"Gym, Pool",3,3,2,3,Gym + Breakfast,Afternoon,Yes,Platinum,Sometimes,5,Definitely Yes,₹5001–₹8000,Yes,"Poor Staff Behavior, Limited Food Options"
36–50,Female,Vanuatu,Unemployed,<25K,>10,3–5,Leisure,Standard,OTA,"Pool, Airport Pickup, Restaurant, Room Service",2,3,3,4,Airport Pickup + Late Checkout,Morning,Yes,Gold,Frequently,2,Probably Yes,₹2000–₹5000,Yes,
26–35,Female,Djibouti,Employed,51K–75K,1–2 times,>10,Leisure,Standard,OTA,"Room Service, Restaurant",3,3,4,3,Gym + Breakfast,Evening,Yes,Basic,Sometimes,3,Probably No,₹2000–₹5000,No,
36–50,Female,Uganda,Employed,76K–1L,3–5,>10,Leisure,Deluxe,Hotel Website,"Spa, Gym, Pool, Room Service",3,3,4,3,Airport Pickup + Late Checkout,Afternoon,No,None,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,Poor Staff Behavior
18–25,Male,Mauritania,Employed,<25K,3–5,3–5,Leisure,Deluxe,OTA,"Pool, Restaurant",4,3,3,3,Gym + Breakfast,Evening,Yes,Platinum,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,"High Prices, Limited Food Options"
51–65,Male,Madagascar,Employed,51K–75K,3–5,6–10,Business,Budget,OTA,"Restaurant, Room Service",4,3,4,3,"Wellness Package, Spa + Dinner",Evening,No,None,Sometimes,4,Not Sure,<₹2000,Yes,
51–65,Female,Peru,Student,51K–75K,1–2 times,1–2 days,Other,Suite,OTA,Airport Pickup,3,4,2,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Afternoon,Yes,Platinum,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,Limited Food Options
36–50,Male,Iraq,Self-Employed,25K–50K,6–10,>10,Leisure,Budget,Hotel Website,"Airport Pickup, Pool, Restaurant",4,4,4,4,"Gym + Breakfast, Spa + Dinner",Morning,Yes,Basic,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"Limited Food Options, Poor Staff Behavior"
36–50,Male,Czech Republic,Unemployed,25K–50K,1–2 times,>10,Business,Standard,OTA,"Restaurant, Pool, Airport Pickup, Spa",4,3,4,2,Spa + Dinner,Evening,No,None,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,Limited Wellness Services
51–65,Male,Armenia,Employed,51K–75K,3–5,1–2 days,Leisure,Standard,OTA,"Spa, Airport Pickup, Gym",3,5,3,3,Airport Pickup + Late Checkout,Evening,Yes,Silver,Frequently,3,Probably Yes,<₹2000,Yes,
36–50,Female,Vanuatu,Self-Employed,25K–50K,1–2 times,1–2 days,Business,Budget,Hotel Website,"Room Service, Restaurant, Gym",4,3,3,5,Airport Pickup + Late Checkout,Evening,Yes,Basic,Sometimes,3,Definitely Yes,₹8001–₹12000,Yes,Poor Staff Behavior
18–25,Female,French Southern Territories,Unemployed,>1L,1–2 times,1–2 days,Business,Budget,OTA,Room Service,4,5,2,4,Airport Pickup + Late Checkout,Evening,Yes,Platinum,Sometimes,4,Probably No,₹2000–₹5000,Yes,"Limited Wellness Services, High Prices"
36–50,Male,Swaziland,Unemployed,76K–1L,>10,1–2 days,Business,Suite,OTA,"Gym, Restaurant, Airport Pickup",4,3,5,3,"Wellness Package, Gym + Breakfast",Evening,Yes,Basic,Rarely,2,Definitely Yes,₹5001–₹8000,No,"Poor Staff Behavior, Delayed Check-in, High Prices"
36–50,Male,Botswana,Unemployed,>1L,1–2 times,6–10,Leisure,Standard,Walk-in,"Spa, Room Service, Airport Pickup",4,2,3,4,"Wellness Package, Gym + Breakfast",Afternoon,Yes,Platinum,Sometimes,2,Definitely Yes,<₹2000,No,
26–35,Male,Saint Kitts and Nevis,Employed,25K–50K,6–10,3–5,Leisure,Budget,Hotel Website,"Pool, Airport Pickup, Gym, Spa",3,4,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Afternoon,Yes,Silver,Rarely,3,Definitely Yes,>₹12000,Yes,"Limited Wellness Services, High Prices"
36–50,Female,Cocos (Keeling) Islands,Unemployed,>1L,3–5,1–2 days,Leisure,Budget,Agent,"Gym, Airport Pickup",3,4,4,4,Spa + Dinner,Late Night,No,None,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,"Limited Wellness Services, Delayed Check-in"
51–65,Female,British Indian Ocean Territory (Chagos Archipelago),Self-Employed,51K–75K,1–2 times,3–5,Leisure,Deluxe,OTA,"Airport Pickup, Spa, Room Service, Restaurant",4,4,5,3,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Gold,Sometimes,4,Probably Yes,₹2000–₹5000,Yes,Lack of Cleanliness
51–65,Male,United States of America,Employed,25K–50K,>10,>10,Leisure,Deluxe,Hotel Website,"Pool, Spa, Gym, Airport Pickup",3,3,3,4,"Spa + Dinner, Airport Pickup + Late Checkout",Afternoon,Yes,Silver,Frequently,2,Definitely Yes,₹2000–₹5000,No,
26–35,Male,Niger,Employed,<25K,1–2 times,3–5,Leisure,Standard,OTA,"Room Service, Restaurant, Airport Pickup",5,3,3,2,"Wellness Package, Airport Pickup + Late Checkout",Afternoon,Yes,Gold,Rarely,4,Definitely Yes,₹5001–₹8000,Yes,"High Prices, Lack of Cleanliness, Limited Wellness Services"
18–25,Male,Spain,Self-Employed,<25K,6–10,3–5,Leisure,Budget,OTA,"Spa, Pool, Gym",4,3,4,3,Airport Pickup + Late Checkout,Afternoon,Yes,Silver,Rarely,4,Definitely Yes,>₹12000,No,"Poor Staff Behavior, High Prices, Limited Food Options"
>65,Female,Oman,Employed,51K–75K,1–2 times,1–2 days,Leisure,Standard,OTA,"Room Service, Spa, Airport Pickup, Restaurant",4,3,5,4,Airport Pickup + Late Checkout,Evening,Yes,Silver,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,Poor Staff Behavior
51–65,Female,United States Minor Outlying Islands,Self-Employed,51K–75K,6–10,>10,Business,Budget,OTA,"Spa, Gym, Restaurant, Airport Pickup",4,4,3,4,Airport Pickup + Late Checkout,Afternoon,No,None,Sometimes,3,Definitely Yes,₹5001–₹8000,Yes,
18–25,Male,Tokelau,Self-Employed,25K–50K,1–2 times,6–10,Business,Budget,Agent,"Room Service, Restaurant, Gym",4,4,3,3,Gym + Breakfast,Evening,No,None,Rarely,4,Not Sure,₹2000–₹5000,Yes,"Poor Staff Behavior, High Prices, Limited Wellness Services"
51–65,Male,Martinique,Employed,51K–75K,3–5,1–2 days,Leisure,Standard,OTA,"Airport Pickup, Gym",4,4,2,4,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,
51–65,Male,Turks and Caicos Islands,Employed,25K–50K,6–10,1–2 days,Leisure,Standard,Hotel Website,"Pool, Room Service",4,3,3,3,"Gym + Breakfast, Wellness Package",Afternoon,No,None,Rarely,4,Definitely No,₹2000–₹5000,Yes,High Prices
36–50,Non-binary,Zambia,Self-Employed,51K–75K,>10,1–2 days,Business,Standard,Hotel Website,"Airport Pickup, Gym, Room Service, Restaurant",3,3,4,3,Spa + Dinner,Evening,Yes,Platinum,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,
36–50,Male,Czech Republic,Employed,25K–50K,>10,1–2 days,Business,Standard,Hotel Website,"Gym, Spa",3,3,3,4,Airport Pickup + Late Checkout,Afternoon,No,None,Frequently,3,Definitely Yes,<₹2000,Yes,
26–35,Female,Micronesia,Student,76K–1L,6–10,3–5,Other,Suite,OTA,"Room Service, Spa, Airport Pickup, Gym",4,3,3,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Late Night,Yes,Platinum,Rarely,3,Not Sure,<₹2000,Yes,
18–25,Female,Mauritius,Student,76K–1L,6–10,>10,Medical,Suite,Hotel Website,Spa,3,1,3,3,"Airport Pickup + Late Checkout, Wellness Package",Morning,Yes,Silver,Frequently,3,Definitely Yes,₹5001–₹8000,Yes,High Prices
26–35,Male,Oman,Employed,51K–75K,1–2 times,3–5,Leisure,Standard,OTA,"Restaurant, Room Service, Spa",3,3,4,3,Airport Pickup + Late Checkout,Afternoon,Yes,Basic,Sometimes,4,Not Sure,₹5001–₹8000,Yes,Limited Food Options
36–50,Male,Norfolk Island,Unemployed,25K–50K,3–5,6–10,Leisure,Standard,OTA,"Pool, Spa, Airport Pickup, Room Service",4,3,3,3,"Airport Pickup + Late Checkout, Spa + Dinner",Afternoon,Yes,Silver,Rarely,2,Definitely Yes,₹2000–₹5000,No,Limited Food Options
<18,Male,Mozambique,Employed,25K–50K,3–5,3–5,Leisure,Standard,Walk-in,"Pool, Gym, Restaurant, Room Service",2,4,3,3,Wellness Package,Evening,No,None,Sometimes,2,Definitely Yes,₹8001–₹12000,Yes,"Delayed Check-in, Limited Food Options, Poor Staff Behavior"
26–35,Female,French Polynesia,Self-Employed,76K–1L,3–5,6–10,Other,Standard,OTA,"Spa, Room Service, Restaurant, Gym",3,3,5,3,Wellness Package,Evening,Yes,Silver,Sometimes,5,Not Sure,₹2000–₹5000,No,"Delayed Check-in, Limited Food Options"
26–35,Female,Cyprus,Employed,25K–50K,3–5,6–10,Other,Deluxe,OTA,"Airport Pickup, Restaurant",4,4,5,4,"Gym + Breakfast, Wellness Package",Morning,Yes,Platinum,Rarely,5,Probably Yes,₹2000–₹5000,Yes,
36–50,Female,Ghana,Employed,25K–50K,3–5,1–2 days,Business,Standard,Agent,"Pool, Room Service, Spa, Airport Pickup",4,2,2,4,Airport Pickup + Late Checkout,Afternoon,No,None,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,"Lack of Cleanliness, High Prices"
51–65,Female,Taiwan,Retired,<25K,1–2 times,3–5,Medical,Deluxe,OTA,Restaurant,3,3,4,4,"Spa + Dinner, Gym + Breakfast",Evening,Yes,Silver,Sometimes,4,Probably Yes,₹8001–₹12000,Yes,
26–35,Male,Somalia,Self-Employed,51K–75K,6–10,3–5,Business,Suite,Hotel Website,"Airport Pickup, Restaurant",4,2,3,2,"Spa + Dinner, Wellness Package",Afternoon,No,None,Rarely,4,Definitely Yes,₹8001–₹12000,No,
26–35,Non-binary,Montserrat,Student,51K–75K,1–2 times,1–2 days,Business,Standard,OTA,"Pool, Spa, Room Service",4,3,3,4,"Gym + Breakfast, Wellness Package",Afternoon,Yes,Basic,Rarely,4,Definitely Yes,<₹2000,Yes,
36–50,Female,France,Employed,76K–1L,3–5,3–5,Leisure,Standard,OTA,Restaurant,2,3,4,1,"Airport Pickup + Late Checkout, Wellness Package",Afternoon,Yes,Platinum,Rarely,5,Not Sure,₹2000–₹5000,Yes,Delayed Check-in
26–35,Male,Albania,Student,25K–50K,3–5,3–5,Leisure,Budget,OTA,"Room Service, Airport Pickup, Pool, Restaurant",3,5,3,4,Airport Pickup + Late Checkout,Evening,Yes,Basic,Sometimes,3,Definitely Yes,₹5001–₹8000,No,"Limited Wellness Services, Lack of Cleanliness, Poor Staff Behavior"
26–35,Non-binary,Central African Republic,Employed,25K–50K,6–10,>10,Other,Standard,OTA,Restaurant,5,4,4,4,"Wellness Package, Airport Pickup + Late Checkout",Afternoon,Yes,Platinum,Rarely,3,Probably Yes,₹2000–₹5000,Yes,Delayed Check-in
26–35,Female,Bahamas,Self-Employed,76K–1L,6–10,3–5,Business,Standard,OTA,"Room Service, Airport Pickup, Restaurant, Gym",3,4,4,3,"Spa + Dinner, Wellness Package",Morning,Yes,Platinum,Sometimes,3,Probably Yes,<₹2000,Yes,
18–25,Female,Germany,Employed,76K–1L,3–5,6–10,Leisure,Standard,Hotel Website,Gym,3,3,4,5,Airport Pickup + Late Checkout,Afternoon,No,None,Sometimes,4,Not Sure,₹5001–₹8000,Yes,"Limited Wellness Services, Limited Food Options"
26–35,Female,New Caledonia,Employed,25K–50K,1–2 times,3–5,Other,Deluxe,Hotel Website,"Pool, Airport Pickup",3,3,3,3,Spa + Dinner,Morning,No,None,Sometimes,3,Probably Yes,₹2000–₹5000,No,
26–35,Female,Sao Tome and Principe,Employed,51K–75K,3–5,6–10,Other,Budget,Agent,"Restaurant, Spa, Airport Pickup, Gym",3,3,3,4,"Gym + Breakfast, Spa + Dinner",Evening,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,
26–35,Female,Maldives,Unemployed,25K–50K,1–2 times,3–5,Business,Standard,OTA,"Gym, Pool",3,4,2,4,Gym + Breakfast,Evening,No,None,Rarely,5,Definitely Yes,₹2000–₹5000,No,"Limited Wellness Services, Delayed Check-in, High Prices"
51–65,Male,Aruba,Unemployed,>1L,3–5,6–10,Leisure,Deluxe,Hotel Website,Gym,4,2,3,5,"Gym + Breakfast, Spa + Dinner",Morning,No,None,Frequently,3,Definitely Yes,<₹2000,Yes,
26–35,Male,Jordan,Student,25K–50K,3–5,3–5,Leisure,Deluxe,Hotel Website,"Room Service, Restaurant, Gym, Pool",4,4,5,5,"Spa + Dinner, Wellness Package",Morning,Yes,Gold,Sometimes,5,Definitely Yes,₹2000–₹5000,No,Lack of Cleanliness
36–50,Female,Romania,Self-Employed,>1L,1–2 times,3–5,Business,Standard,Agent,"Room Service, Gym, Pool",4,3,3,4,Gym + Breakfast,Morning,No,None,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,"Limited Wellness Services, High Prices, Lack of Cleanliness"
36–50,Male,Aruba,Employed,51K–75K,3–5,3–5,Other,Deluxe,OTA,"Airport Pickup, Restaurant, Room Service",3,4,3,3,Spa + Dinner,Evening,Yes,Basic,Sometimes,5,Probably Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Delayed Check-in, Limited Food Options"
18–25,Male,Senegal,Employed,51K–75K,>10,3–5,Other,Standard,Hotel Website,"Gym, Restaurant, Pool, Airport Pickup",3,4,4,4,"Gym + Breakfast, Spa + Dinner",Morning,No,None,Sometimes,5,Definitely Yes,₹8001–₹12000,Yes,"Delayed Check-in, Poor Staff Behavior, Limited Food Options"
36–50,Male,Norway,Self-Employed,<25K,>10,1–2 days,Business,Standard,Agent,Pool,3,2,3,3,"Spa + Dinner, Airport Pickup + Late Checkout",Late Night,No,None,Rarely,4,Definitely Yes,₹2000–₹5000,No,
26–35,Male,Spain,Unemployed,51K–75K,3–5,1–2 days,Business,Budget,OTA,"Pool, Restaurant, Spa",4,3,3,4,Airport Pickup + Late Checkout,Afternoon,Yes,Basic,Sometimes,5,Probably Yes,₹8001–₹12000,Yes,"Poor Staff Behavior, Limited Food Options, Delayed Check-in"
>65,Female,Belgium,Unemployed,51K–75K,1–2 times,1–2 days,Business,Standard,Agent,"Spa, Restaurant, Gym, Airport Pickup",3,3,5,4,Wellness Package,Afternoon,Yes,Gold,Rarely,4,Definitely Yes,₹5001–₹8000,Yes,"Delayed Check-in, High Prices, Limited Food Options"
18–25,Female,Norway,Employed,25K–50K,1–2 times,6–10,Other,Deluxe,OTA,"Airport Pickup, Gym, Room Service",4,2,4,3,"Airport Pickup + Late Checkout, Wellness Package",Morning,No,None,Frequently,4,Not Sure,₹2000–₹5000,Yes,High Prices
26–35,Male,Honduras,Employed,51K–75K,3–5,1–2 days,Business,Deluxe,Hotel Website,"Pool, Room Service, Spa, Gym",4,3,3,4,"Airport Pickup + Late Checkout, Spa + Dinner",Evening,Yes,Platinum,Sometimes,4,Not Sure,₹2000–₹5000,Yes,"Delayed Check-in, Limited Wellness Services"
18–25,Male,Hungary,Self-Employed,>1L,>10,1–2 days,Leisure,Deluxe,Agent,Pool,3,5,3,3,"Spa + Dinner, Wellness Package",Evening,Yes,Platinum,Rarely,3,Definitely Yes,₹2000–₹5000,No,High Prices
>65,Male,Russian Federation,Employed,51K–75K,1–2 times,6–10,Leisure,Standard,Hotel Website,Room Service,3,4,3,4,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,High Prices
26–35,Female,Norfolk Island,Employed,76K–1L,6–10,3–5,Leisure,Budget,OTA,"Room Service, Airport Pickup",3,5,4,3,"Spa + Dinner, Airport Pickup + Late Checkout",Afternoon,Yes,Silver,Rarely,4,Not Sure,₹2000–₹5000,Yes,"Lack of Cleanliness, Delayed Check-in"
36–50,Female,Gambia,Employed,<25K,1–2 times,3–5,Business,Budget,OTA,"Pool, Spa, Restaurant",5,4,3,4,Spa + Dinner,Afternoon,Yes,Basic,Rarely,2,Definitely Yes,₹5001–₹8000,Yes,"Limited Food Options, Delayed Check-in"
18–25,Male,New Caledonia,Self-Employed,51K–75K,>10,1–2 days,Business,Standard,Agent,"Room Service, Gym",3,3,2,4,Spa + Dinner,Afternoon,Yes,Basic,Sometimes,5,Definitely Yes,₹5001–₹8000,No,"Limited Wellness Services, Limited Food Options, High Prices"
36–50,Female,Philippines,Employed,25K–50K,3–5,>10,Other,Deluxe,OTA,Restaurant,5,3,3,3,Airport Pickup + Late Checkout,Afternoon,Yes,Silver,Sometimes,5,Definitely Yes,₹5001–₹8000,No,Limited Food Options
26–35,Female,Norfolk Island,Employed,51K–75K,6–10,6–10,Other,Deluxe,OTA,"Restaurant, Airport Pickup, Spa, Pool",2,4,2,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Afternoon,No,None,Frequently,3,Probably Yes,₹5001–₹8000,No,
51–65,Female,Guam,Unemployed,>1L,3–5,6–10,Leisure,Standard,Hotel Website,Airport Pickup,3,4,5,4,"Gym + Breakfast, Wellness Package",Evening,Yes,Basic,Frequently,4,Probably Yes,₹2000–₹5000,Yes,Delayed Check-in
26–35,Female,Czech Republic,Employed,51K–75K,3–5,3–5,Business,Standard,OTA,Gym,3,3,3,4,Wellness Package,Afternoon,Yes,Gold,Rarely,3,Probably No,₹8001–₹12000,No,"Lack of Cleanliness, Limited Wellness Services"
26–35,Male,Fiji,Employed,<25K,1–2 times,6–10,Leisure,Standard,OTA,"Pool, Room Service, Restaurant, Airport Pickup",3,2,3,3,Wellness Package,Afternoon,Yes,Silver,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,"Limited Wellness Services, Limited Food Options, Lack of Cleanliness"
18–25,Female,Paraguay,Employed,25K–50K,1–2 times,1–2 days,Leisure,Standard,OTA,"Restaurant, Gym",3,5,4,4,"Wellness Package, Spa + Dinner",Afternoon,Yes,Basic,Frequently,3,Definitely Yes,>₹12000,Yes,"High Prices, Limited Food Options, Limited Wellness Services"
26–35,Male,Central African Republic,Student,51K–75K,>10,1–2 days,Business,Standard,OTA,"Airport Pickup, Gym, Spa",3,3,3,5,"Wellness Package, Gym + Breakfast",Morning,No,None,Rarely,4,Definitely Yes,₹2000–₹5000,No,"High Prices, Limited Food Options, Lack of Cleanliness"
36–50,Female,Martinique,Student,51K–75K,>10,1–2 days,Other,Budget,Hotel Website,Restaurant,3,3,3,4,Wellness Package,Afternoon,No,None,Sometimes,3,Definitely Yes,₹8001–₹12000,Yes,
18–25,Female,Bahamas,Employed,76K–1L,6–10,3–5,Leisure,Budget,Hotel Website,Gym,4,4,4,4,"Wellness Package, Spa + Dinner",Afternoon,Yes,Silver,Frequently,5,Definitely No,₹8001–₹12000,No,
36–50,Female,Guam,Retired,76K–1L,3–5,3–5,Business,Budget,Hotel Website,"Pool, Gym, Spa",4,3,5,4,"Airport Pickup + Late Checkout, Spa + Dinner",Morning,Yes,Gold,Sometimes,3,Probably Yes,₹5001–₹8000,Yes,"Limited Food Options, Poor Staff Behavior"
26–35,Female,Korea,Employed,51K–75K,6–10,3–5,Other,Budget,Agent,Airport Pickup,4,4,4,4,"Airport Pickup + Late Checkout, Gym + Breakfast",Late Night,No,None,Rarely,4,Probably Yes,₹5001–₹8000,Yes,"Poor Staff Behavior, Delayed Check-in, Limited Wellness Services"
36–50,Male,Denmark,Unemployed,25K–50K,1–2 times,1–2 days,Other,Budget,Agent,"Restaurant, Gym, Airport Pickup",4,5,5,4,"Wellness Package, Spa + Dinner",Afternoon,Yes,Platinum,Frequently,3,Definitely Yes,>₹12000,Yes,Lack of Cleanliness
26–35,Female,China,Employed,25K–50K,3–5,3–5,Business,Deluxe,Hotel Website,"Gym, Restaurant, Airport Pickup",4,3,3,2,Spa + Dinner,Afternoon,Yes,Platinum,Frequently,3,Probably No,>₹12000,Yes,"Delayed Check-in, Poor Staff Behavior, High Prices"
26–35,Prefer not to say,Mayotte,Employed,25K–50K,3–5,6–10,Leisure,Standard,OTA,"Pool, Restaurant, Gym",3,3,4,2,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Gold,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,Lack of Cleanliness
36–50,Female,Saint Kitts and Nevis,Employed,25K–50K,3–5,3–5,Leisure,Suite,Hotel Website,"Pool, Restaurant, Room Service, Spa",3,3,4,4,"Airport Pickup + Late Checkout, Gym + Breakfast",Morning,No,None,Rarely,4,Probably No,₹2000–₹5000,Yes,Delayed Check-in
18–25,Male,Jersey,Employed,51K–75K,3–5,6–10,Leisure,Budget,OTA,"Gym, Room Service",4,3,4,2,Airport Pickup + Late Checkout,Evening,Yes,Silver,Sometimes,4,Definitely Yes,₹8001–₹12000,No,
26–35,Male,Macedonia,Self-Employed,51K–75K,1–2 times,1–2 days,Business,Standard,Hotel Website,"Room Service, Pool",3,5,5,4,Airport Pickup + Late Checkout,Afternoon,Yes,Gold,Rarely,3,Definitely Yes,<₹2000,No,"Delayed Check-in, Poor Staff Behavior, Lack of Cleanliness"
51–65,Male,Bangladesh,Employed,51K–75K,3–5,6–10,Leisure,Standard,Hotel Website,"Gym, Pool, Airport Pickup, Spa",3,4,3,3,Airport Pickup + Late Checkout,Evening,Yes,Platinum,Rarely,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Limited Food Options"
51–65,Female,Djibouti,Employed,<25K,6–10,3–5,Other,Budget,OTA,"Spa, Pool",4,4,3,3,"Gym + Breakfast, Spa + Dinner",Evening,Yes,Silver,Sometimes,4,Definitely Yes,>₹12000,Yes,"High Prices, Lack of Cleanliness, Poor Staff Behavior"
26–35,Female,Pakistan,Retired,25K–50K,3–5,1–2 days,Leisure,Deluxe,Agent,"Restaurant, Airport Pickup",5,2,4,4,"Airport Pickup + Late Checkout, Wellness Package",Late Night,Yes,Platinum,Frequently,3,Definitely Yes,₹8001–₹12000,Yes,"Poor Staff Behavior, Limited Food Options, High Prices"
26–35,Male,Paraguay,Unemployed,25K–50K,1–2 times,1–2 days,Business,Budget,OTA,"Pool, Spa",4,3,2,4,Spa + Dinner,Evening,Yes,Basic,Frequently,3,Not Sure,>₹12000,Yes,"High Prices, Limited Wellness Services"
36–50,Female,Myanmar,Retired,25K–50K,1–2 times,3–5,Leisure,Suite,Hotel Website,Gym,4,4,3,5,"Wellness Package, Spa + Dinner",Afternoon,No,None,Sometimes,3,Probably Yes,₹5001–₹8000,Yes,"Limited Food Options, Delayed Check-in"
26–35,Female,Isle of Man,Employed,76K–1L,1–2 times,6–10,Leisure,Deluxe,OTA,"Pool, Restaurant, Gym, Airport Pickup",3,4,3,3,"Wellness Package, Gym + Breakfast",Evening,Yes,Platinum,Sometimes,3,Definitely Yes,₹5001–₹8000,Yes,"Delayed Check-in, Lack of Cleanliness, Poor Staff Behavior"
18–25,Female,Colombia,Self-Employed,<25K,3–5,3–5,Medical,Standard,Agent,"Restaurant, Gym",2,3,3,5,Spa + Dinner,Afternoon,Yes,Silver,Rarely,2,Not Sure,>₹12000,Yes,"Lack of Cleanliness, Delayed Check-in"
18–25,Female,Syrian Arab Republic,Employed,51K–75K,3–5,1–2 days,Leisure,Standard,OTA,"Gym, Spa, Room Service, Pool",4,3,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Platinum,Frequently,2,Probably No,₹2000–₹5000,No,Delayed Check-in
36–50,Female,Eritrea,Employed,25K–50K,3–5,6–10,Business,Deluxe,OTA,"Gym, Airport Pickup",4,3,3,3,"Airport Pickup + Late Checkout, Spa + Dinner",Morning,No,None,Sometimes,4,Probably Yes,₹8001–₹12000,Yes,
36–50,Female,Mayotte,Employed,76K–1L,6–10,3–5,Business,Standard,OTA,"Restaurant, Room Service",4,3,3,4,Airport Pickup + Late Checkout,Evening,Yes,Gold,Frequently,4,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, Poor Staff Behavior"
18–25,Male,Solomon Islands,Employed,51K–75K,3–5,3–5,Leisure,Deluxe,OTA,"Pool, Restaurant, Gym, Room Service",3,2,4,4,Wellness Package,Evening,Yes,Platinum,Sometimes,4,Probably Yes,₹2000–₹5000,Yes,Limited Wellness Services
26–35,Female,Colombia,Employed,25K–50K,6–10,3–5,Business,Budget,OTA,"Restaurant, Spa, Gym",4,3,5,4,Airport Pickup + Late Checkout,Evening,No,None,Sometimes,5,Probably Yes,<₹2000,Yes,
26–35,Female,Denmark,Employed,51K–75K,1–2 times,1–2 days,Leisure,Budget,Hotel Website,"Room Service, Gym, Spa, Airport Pickup",3,3,3,4,"Gym + Breakfast, Spa + Dinner",Afternoon,Yes,Silver,Frequently,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Lack of Cleanliness"
36–50,Female,Venezuela,Retired,76K–1L,3–5,3–5,Business,Standard,OTA,"Pool, Spa, Gym",3,4,4,3,Gym + Breakfast,Evening,No,None,Rarely,2,Definitely Yes,₹5001–₹8000,Yes,
18–25,Female,Romania,Employed,>1L,6–10,3–5,Leisure,Standard,OTA,Spa,3,3,4,3,"Wellness Package, Airport Pickup + Late Checkout",Morning,Yes,Silver,Rarely,4,Definitely No,₹2000–₹5000,Yes,"Delayed Check-in, Limited Wellness Services, High Prices"
18–25,Female,San Marino,Student,25K–50K,1–2 times,>10,Leisure,Deluxe,OTA,"Room Service, Gym, Restaurant, Airport Pickup",4,4,4,4,"Airport Pickup + Late Checkout, Wellness Package",Morning,Yes,Silver,Rarely,2,Definitely Yes,₹5001–₹8000,Yes,"Limited Wellness Services, High Prices"
36–50,Male,Azerbaijan,Student,76K–1L,1–2 times,3–5,Other,Budget,Agent,"Restaurant, Spa, Gym",3,4,3,3,"Gym + Breakfast, Spa + Dinner",Evening,Yes,Platinum,Frequently,3,Definitely Yes,₹5001–₹8000,Yes,Limited Food Options
26–35,Male,Belarus,Unemployed,>1L,6–10,3–5,Other,Deluxe,Hotel Website,"Gym, Restaurant",3,5,2,3,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Platinum,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,Poor Staff Behavior
36–50,Male,Cuba,Employed,>1L,3–5,3–5,Business,Standard,Hotel Website,Spa,3,5,4,4,Spa + Dinner,Evening,No,None,Sometimes,5,Probably Yes,<₹2000,No,
26–35,Male,Gabon,Employed,51K–75K,6–10,>10,Leisure,Standard,Hotel Website,"Restaurant, Spa, Room Service, Pool",3,3,3,4,Wellness Package,Evening,Yes,Basic,Rarely,3,Probably Yes,₹5001–₹8000,Yes,Limited Food Options
18–25,Female,Spain,Retired,51K–75K,1–2 times,6–10,Business,Standard,OTA,"Pool, Spa, Room Service",2,3,4,2,Spa + Dinner,Afternoon,Yes,Basic,Sometimes,3,Definitely Yes,<₹2000,Yes,High Prices
